Datum;H_EAST2
2004-06-21 00:00:00;2.143463
2004-06-21 02:00:00;2.296178
2004-06-21 04:00:00;2.353073
2004-06-21 06:00:00;2.396787
2004-06-21 08:00:00;2.40726
2004-06-21 10:00:00;2.413606
2004-06-21 12:00:00;2.425248
2004-06-21 14:00:00;2.368811
2004-06-21 16:00:00;2.206095
2004-06-21 18:00:00;2.148206
2004-06-21 20:00:00;2.188656
2004-06-21 22:00:00;2.178748
2004-06-22 00:00:00;2.072447
2004-06-22 02:00:00;1.994201
2004-06-22 04:00:00;1.923256
2004-06-22 06:00:00;1.900177
2004-06-22 08:00:00;2.005583
2004-06-22 10:00:00;2.008015
2004-06-22 12:00:00;1.912578
2004-06-22 14:00:00;1.848593
2004-06-22 16:00:00;1.782722
2004-06-22 18:00:00;1.762898
2004-06-22 20:00:00;1.890233
2004-06-22 22:00:00;1.913139
2004-06-23 00:00:00;1.812144
2004-06-23 02:00:00;1.748562
2004-06-23 04:00:00;1.679043
2004-06-23 06:00:00;1.652883
2004-06-23 08:00:00;1.800506
2004-06-23 10:00:00;1.839425
2004-06-23 12:00:00;1.732804
2004-06-23 14:00:00;1.668799
2004-06-23 16:00:00;1.590744
2004-06-23 18:00:00;1.565454
2004-06-23 20:00:00;1.740949
2004-06-23 22:00:00;1.788283
2004-06-24 00:00:00;1.675808
2004-06-24 02:00:00;1.612065
2004-06-24 04:00:00;1.531689
2004-06-24 06:00:00;1.514991
2004-06-24 08:00:00;1.70655
2004-06-24 10:00:00;1.768722
2004-06-24 12:00:00;1.657959
2004-06-24 14:00:00;1.592566
2004-06-24 16:00:00;1.515954
2004-06-24 18:00:00;1.503431
2004-06-24 20:00:00;1.703974
2004-06-24 22:00:00;1.776989
2004-06-25 00:00:00;1.670684
2004-06-25 02:00:00;1.606955
2004-06-25 04:00:00;1.533861
2004-06-25 06:00:00;1.525606
2004-06-25 08:00:00;1.728659
2004-06-25 10:00:00;1.806536
2004-06-25 12:00:00;1.704643
2004-06-25 14:00:00;1.645681
2004-06-25 16:00:00;1.576192
2004-06-25 18:00:00;1.570438
2004-06-25 20:00:00;1.770932
2004-06-25 22:00:00;1.849833
2004-06-26 00:00:00;1.754728
2004-06-26 02:00:00;1.702163
2004-06-26 04:00:00;1.640775
2004-06-26 06:00:00;1.636786
2004-06-26 08:00:00;1.826114
2004-06-26 10:00:00;1.903753
2004-06-26 12:00:00;1.82024
2004-06-26 14:00:00;1.775879
2004-06-26 16:00:00;1.722374
2004-06-26 18:00:00;1.71599
2004-06-26 20:00:00;1.891956
2004-06-26 22:00:00;1.970483
2004-06-27 00:00:00;1.896671
2004-06-27 02:00:00;1.855054
2004-06-27 04:00:00;1.814432
2004-06-27 06:00:00;1.816562
2004-06-27 08:00:00;1.97345
2004-06-27 10:00:00;2.04008
2004-06-27 12:00:00;1.973326
2004-06-27 14:00:00;1.939268
2004-06-27 16:00:00;1.905181
2004-06-27 18:00:00;1.912084
2004-06-27 20:00:00;2.0517
2004-06-27 22:00:00;2.10782
2004-06-28 00:00:00;2.048864
2004-06-28 02:00:00;2.017658
2004-06-28 04:00:00;1.987263
2004-06-28 06:00:00;1.99641
2004-06-28 08:00:00;2.12853
2004-06-28 10:00:00;2.172307
2004-06-28 12:00:00;2.129855
2004-06-28 14:00:00;2.099954
2004-06-28 16:00:00;2.071127
2004-06-28 18:00:00;2.085592
2004-06-28 20:00:00;2.191395
2004-06-28 22:00:00;2.236379
2004-06-29 00:00:00;2.187594
2004-06-29 02:00:00;2.159215
2004-06-29 04:00:00;2.132649
2004-06-29 06:00:00;2.142717
2004-06-29 08:00:00;2.258091
2004-06-29 10:00:00;2.296162
2004-06-29 12:00:00;2.246691
2004-06-29 14:00:00;2.219189
2004-06-29 16:00:00;2.192765
2004-06-29 18:00:00;2.220275
2004-06-29 20:00:00;2.304441
2004-06-29 22:00:00;2.330191
2004-06-30 00:00:00;2.295375
