"1995/01/01;00:00:00" 4204 <
"1995/01/02;00:00:00" 4258 <
"1995/01/03;00:00:00" 4254 <
"1995/01/04;00:00:00" 4149 <
"1995/01/05;00:00:00" 3775 <
"1995/01/06;00:00:00" 3283 <
"1995/01/07;00:00:00" 2913 <
"1995/01/08;00:00:00" 2646 <
"1995/01/09;00:00:00" 2463 <
"1995/01/10;00:00:00" 2370 <
"1995/01/11;00:00:00" 2401 <
"1995/01/12;00:00:00" 2656 <
"1995/01/13;00:00:00" 3071 <
"1995/01/14;00:00:00" 3540 <
"1995/01/15;00:00:00" 3713 <
"1995/01/16;00:00:00" 3490 <
"1995/01/17;00:00:00" 3167 <
"1995/01/18;00:00:00" 2917 <
"1995/01/19;00:00:00" 2732 <
"1995/01/20;00:00:00" 2588 <
"1995/01/21;00:00:00" 2607 <
"1995/01/22;00:00:00" 2656 <
"1995/01/23;00:00:00" 2850 <
"1995/01/24;00:00:00" 3903 <
"1995/01/25;00:00:00" 6075 <
"1995/01/26;00:00:00" 7397 <
"1995/01/27;00:00:00" 8015 <
"1995/01/28;00:00:00" 8961 <
"1995/01/29;00:00:00" 10283 <
"1995/01/30;00:00:00" 11200 <
"1995/01/31;00:00:00" 11885 <
"1995/02/01;00:00:00" 11790 <
"1995/02/02;00:00:00" 10944 <
"1995/02/03;00:00:00" 9733 <
"1995/02/04;00:00:00" 8395 <
"1995/02/05;00:00:00" 7230 <
"1995/02/06;00:00:00" 6177 <
"1995/02/07;00:00:00" 5359 <
"1995/02/08;00:00:00" 4715 <
"1995/02/09;00:00:00" 4293 <
"1995/02/10;00:00:00" 4024 <
"1995/02/11;00:00:00" 3837 <
"1995/02/12;00:00:00" 3798 <
"1995/02/13;00:00:00" 3827 <
"1995/02/14;00:00:00" 3836 <
"1995/02/15;00:00:00" 3796 <
"1995/02/16;00:00:00" 3816 <
"1995/02/17;00:00:00" 3937 <
"1995/02/18;00:00:00" 4348 <
"1995/02/19;00:00:00" 4739 <
"1995/02/20;00:00:00" 5059 <
"1995/02/21;00:00:00" 5277 <
"1995/02/22;00:00:00" 5410 <
"1995/02/23;00:00:00" 5228 <
"1995/02/24;00:00:00" 4866 <
"1995/02/25;00:00:00" 4542 <
"1995/02/26;00:00:00" 4389 <
"1995/02/27;00:00:00" 4516 <
"1995/02/28;00:00:00" 4799 <
"1995/03/01;00:00:00" 4963 <
"1995/03/02;00:00:00" 4871 <
"1995/03/03;00:00:00" 4631 <
"1995/03/04;00:00:00" 4347 <
"1995/03/05;00:00:00" 4163 <
"1995/03/06;00:00:00" 4027 <
"1995/03/07;00:00:00" 3833 <
"1995/03/08;00:00:00" 3680 <
"1995/03/09;00:00:00" 3592 <
"1995/03/10;00:00:00" 3476 <
"1995/03/11;00:00:00" 3313 <
"1995/03/12;00:00:00" 3142 <
"1995/03/13;00:00:00" 2999 <
"1995/03/14;00:00:00" 2857 <
